P2,Q0,A1
P2,Q1,A0
P2,Q2,A0
P2,Q3,A1
P2,Q4,A0
P2,Q5,A0
P2,Q6,A0
P2,Q7,A1
P2,Q8,A1
P2,Q9,A0
P2,Q10,A0
P2,Q11,A1
P2,Q12,A0
P2,Q13,A0
P2,Q14,A0
P2,Q15,A0
P2,Q16,A0
P2,Q17,A1
P2,Q18,A0
P2,Q19,A1
P2,Q20,A0
P2,Q21,A1
P2,Q22,A1
P2,Q23,A1
P2,Q24,A1
P2,Q25,A0
P2,Q26,A0
P2,Q27,A1
P2,Q28,A0
P2,Q29,A1
P2,Q30,A0
P2,Q31,A0
P2,Q32,A1
P2,Q33,A0
P2,Q34,A0
P2,Q35,A0
P2,Q36,A0
P2,Q37,A1
P2,Q38,A1
P2,Q39,A0
P2,Q40,A1
P2,Q41,A0
P2,Q42,A1
P2,Q43,A0
P2,Q44,A1
P2,Q45,A1
P2,Q46,A0
P2,Q47,A0
P2,Q48,A0
P2,Q49,A1
P2,Q50,A0
P2,Q51,A0
P2,Q52,A0
P2,Q53,A0
P2,Q54,A0
P2,Q55,A0
P2,Q56,A0
P2,Q57,A0
P2,Q58,A0
P2,Q59,A0
P2,Q60,A0
P2,Q61,A0
P2,Q62,A0
P2,Q63,A0
P2,Q64,A0
P2,Q65,A0
P2,Q66,A0
P2,Q67,A0
P2,Q68,A0
P2,Q69,A0
P2,Q70,A1
P2,Q71,A0
P2,Q72,A0
P2,Q73,A1
P2,Q74,A1
P2,Q75,A1
P2,Q76,A0
P2,Q77,A0
P2,Q78,A0
P2,Q79,A0
P2,Q80,A1
P2,Q81,A0
P2,Q82,A0
P2,Q83,A0
P2,Q84,A0
P2,Q85,A0
P2,Q86,A1
P2,Q87,A0
P2,Q88,A0
P2,Q89,A0
P2,Q90,A0
P2,Q91,A1
P2,Q92,A1
P2,Q93,A1
P2,Q94,A0
P2,Q95,A0
P2,Q96,A1
P2,Q97,A0
P2,Q98,A0
P2,Q99,A0
P2,Q100,A0
P2,Q101,A0
P2,Q102,A0
P2,Q103,A0
P2,Q104,A0
P2,Q105,A0
P2,Q106,A0
P2,Q107,A1
P2,Q108,A1
P2,Q109,A1
P2,Q110,A0
P2,Q111,A0
P2,Q112,A0
P2,Q113,A1
P2,Q114,A0
P2,Q115,A0
P2,Q116,A0
P2,Q117,A0
P2,Q118,A0
P2,Q119,A0
P2,Q120,A1
P2,Q121,A1
P2,Q122,A0
P2,Q123,A0
P2,Q124,A0
P2,Q125,A0
P2,Q126,A0
P2,Q127,A0
P2,Q128,A0
P2,Q129,A1
P2,Q130,A1
P2,Q131,A1
P2,Q132,A0
P2,Q133,A0
P2,Q134,A1
P2,Q135,A0
P2,Q136,A0
P2,Q137,A0
P2,Q138,A1
P2,Q139,A1
P2,Q140,A0
P2,Q141,A1
P2,Q142,A1
P2,Q143,A0
P2,Q144,A1
P2,Q145,A0
P2,Q146,A1
P2,Q147,A1
P2,Q148,A1
P2,Q149,A0
P2,Q150,A0
P2,Q151,A1
P2,Q152,A0
P2,Q153,A1
P2,Q154,A1
P2,Q155,A0
P2,Q156,A1
P2,Q157,A0
P2,Q158,A0
P2,Q159,A0
P2,Q160,A0
P2,Q161,A0
P2,Q162,A0
P2,Q163,A0
P2,Q164,A0
P2,Q165,A0
P2,Q166,A0
P2,Q167,A0
P2,Q168,A0
P2,Q169,A0
P2,Q170,A0
P2,Q171,A0
P2,Q172,A1
P2,Q173,A1
P2,Q174,A0
P2,Q175,A1
P2,Q176,A1
P2,Q177,A1
P2,Q178,A0
P2,Q179,A0
P2,Q180,A1
P2,Q181,A1
P2,Q182,A1
P2,Q183,A0
P2,Q184,A1
P2,Q185,A0
P2,Q186,A1
P2,Q187,A1
P2,Q188,A1
P2,Q189,A1
P2,Q190,A1
P2,Q191,A0
P2,Q192,A0
P2,Q193,A1
P2,Q194,A1
P2,Q195,A1
P2,Q196,A0
P2,Q197,A1
P2,Q198,A1
P2,Q199,A0
P2,Q200,A0
P2,Q201,A0
P2,Q202,A0
P2,Q203,A0
P2,Q204,A0
P2,Q205,A0
P2,Q206,A0
P2,Q207,A0
P2,Q208,A0
P2,Q209,A0
P2,Q210,A0
P2,Q211,A0
P2,Q212,A0
P2,Q213,A0
P2,Q214,A0
P2,Q215,A0
P2,Q216,A0
P2,Q217,A0
P2,Q218,A0
P2,Q219,A0
P2,Q220,A0
P2,Q221,A0
P2,Q222,A0
P2,Q223,A1
P2,Q224,A0
P2,Q225,A1
P2,Q226,A1
P2,Q227,A1
P2,Q228,A1
P2,Q229,A0
P2,Q230,A0
P2,Q231,A0
P2,Q232,A0
P2,Q233,A0
P2,Q234,A0
P2,Q235,A0
P2,Q236,A1
P2,Q237,A0
P2,Q238,A0
P2,Q239,A1
P2,Q240,A0
P2,Q241,A1
P2,Q242,A0
P2,Q243,A0
P2,Q244,A1
P2,Q245,A0
P2,Q246,A1
P2,Q247,A0
P2,Q248,A1
P2,Q249,A1
P2,Q250,A0
P2,Q251,A0
P2,Q252,A0
P2,Q253,A0
P2,Q254,A0
P2,Q255,A1
P2,Q256,A0
P2,Q257,A1
P2,Q258,A0
P2,Q259,A0
P2,Q260,A0
P2,Q261,A1
P2,Q262,A0
P2,Q263,A1
P2,Q264,A0
P2,Q265,A0
P2,Q266,A0
P2,Q267,A0
P2,Q268,A0
P2,Q269,A0
P2,Q270,A0
P2,Q271,A0
P2,Q272,A1
P2,Q273,A0
P2,Q274,A0
P2,Q275,A0
P2,Q276,A0
P2,Q277,A1
P2,Q278,A1
P2,Q279,A1
P2,Q280,A0
P2,Q281,A0
P2,Q282,A0
P2,Q283,A0
P2,Q284,A0
P2,Q285,A0
P2,Q286,A1
P2,Q287,A0
P2,Q288,A1
P2,Q289,A0
P2,Q290,A1
P2,Q291,A0
P2,Q292,A1
P2,Q293,A1
P2,Q294,A1
P2,Q295,A0
P2,Q296,A1
P2,Q297,A0
P2,Q298,A0
P2,Q299,A0
P2,Q300,A1
P2,Q301,A0
P2,Q302,A0
P2,Q303,A0
P2,Q304,A1
P2,Q305,A0
P3,Q0,A1
P3,Q1,A0
P3,Q2,A0
P3,Q3,A1
P3,Q4,A0
P3,Q5,A0
P3,Q6,A0
P3,Q7,A0
P3,Q8,A0
P3,Q9,A0
P3,Q10,A0
P3,Q11,A1
P3,Q12,A0
P3,Q13,A0
P3,Q14,A0
P3,Q15,A0
P3,Q16,A0
P3,Q17,A0
P3,Q18,A0
P3,Q19,A1
P3,Q20,A0
P3,Q21,A0
P3,Q22,A1
P3,Q23,A1
P3,Q24,A1
P3,Q25,A0
P3,Q26,A0
P3,Q27,A1
P3,Q28,A0
P3,Q29,A0
P3,Q30,A0
P3,Q31,A0
P3,Q32,A0
P3,Q33,A1
P3,Q34,A0
P3,Q35,A0
P3,Q36,A0
P3,Q37,A1
P3,Q38,A0
P3,Q39,A0
P3,Q40,A1
P3,Q41,A0
P3,Q42,A0
P3,Q43,A0
P3,Q44,A1
P3,Q45,A1
P3,Q46,A0
P3,Q47,A0
P3,Q48,A0
P3,Q49,A0
P3,Q50,A0
P3,Q51,A0
P3,Q52,A0
P3,Q53,A0
P3,Q54,A0
P3,Q55,A0
P3,Q56,A0
P3,Q57,A0
P3,Q58,A0
P3,Q59,A0
P3,Q60,A0
P3,Q61,A0
P3,Q62,A0
P3,Q63,A0
P3,Q64,A0
P3,Q65,A0
P3,Q66,A0
P3,Q67,A0
P3,Q68,A0
P3,Q69,A0
P3,Q70,A1
P3,Q71,A0
P3,Q72,A0
P3,Q73,A1
P3,Q74,A0
P3,Q75,A1
P3,Q76,A0
P3,Q77,A0
P3,Q78,A0
P3,Q79,A0
P3,Q80,A0
